id,blog_date,blog_title,flag,social_media,post_text,post_date,blog_check,blog_conclusion,post_view,post_likes,post_comment,post_share,post_url,archive_url,blog_url,thumbnail
16,10/07/2025,PM Israel Sebut Perang Israel dan Iran Hanya Sandiwara,SALAH,Twitter,“Adapun perang antara Syiah dan Israel hanya sekedar sandiwara. Adapun korban dikedua belah pihak sangat kecil”.,10/07/2025,,,0,0,0,0,https://turnbackhoax.id/2025/07/10/salah-pm-israel-sebut-perang-israel-dan-iran-hanya-sandiwara,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/07/HEADER-Light-Background-11-678x381.png
17,16/04/2024,“KEADAAN #ISRAEL SAAT INI MENGALAMI YANG PALESTINA ALAMI”,SALAH,Twitter,"“KEADAAN #ISRAEL SAAT INI ! KINI ISRAEL MENGALAMI APA YG PALESTINA ALAMI “Maka apabila datang saat hukuman bagi kejahatan yg pertama dan kedua kejahatan itu,kami datangkan kepadamu hamba² kami yg perkasa lalu mereka merajalela di kampung² dan itulah ketentuan yg pasti terlaksana””",16/04/2024,,,0,0,0,0,https://turnbackhoax.id/2024/04/16/salah-keadaan-israel-saat-ini-mengalami-yang-palestina-alami,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/04/star-towers-tr-03-678x381.png
18,03/12/2024,Prabowo Tidak Segan-Segan Seret Jokowi ke Meja Hijau,SALAH,Twitter,"GEGER! BARU BOCOR MALAM INI, PRABOWO TAK SEGAN² SERET MULYONO KE MEJA HIJAU JIKA MASIH SOK BERKUASA
JOKOWI NGAMUK KE PRABOWO
KABAR PALING HEBOH MALAM INI
HUBUNGAN PRABOWO-JKW RETAK PARAH",03/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/03/salah-prabowo-tidak-segan-segan-seret-jokowi-ke-meja-hijau,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/11.-Meja-Hijau-678x381.jpg
19,08/09/2025,Video “Demo Mahasiswa Buntut Ucapan Sri Mulyani: Guru Beban Negara”,SALAH,Twitter,"“polemik ucapan Sri Mulyani guru jd beban negara.
HARI INI RATUSAN RIBU MAHASISWA DARI BERBAGAI UNIVERSITAS DI INDONESIA MELAKUKAN DEMO BESAR-BESARAN DI ISTANA MERDEKA. PARA MAHASISWA INI MENUNTUT AGAR PRESIDEN PRABOWO MEMECAT MENTERI KEUANGAN SRI MULYANI YANG MENGATAKAN JIKA GURU ADALAH BEBAN NEGARA”",08/09/2025,,,0,0,0,0,https://turnbackhoax.id/2025/09/08/salah-video-demo-mahasiswa-buntut-ucapan-sri-mulyani-guru-beban-negara,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/09/HEADER-Dark-Background-38-678x381.png
20,20/02/2025,Perdana Menteri Mesir Merobek Dokumen Perjanjian Damai dengan Israel,SALAH,Twitter,"dokumen perdamaian dengan israel di robek perdana menteri Mesir.
Alhamdulillah Mesir mulai sadar, Allahuakbar",20/02/2025,,,0,0,0,0,https://turnbackhoax.id/2025/02/20/salah-perdana-menteri-mesir-merobek-dokumen-perjanjian-damai-dengan-israel,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/02/2-Header-Perdana-Menteri-678x381.png
21,10/07/2025,"Tubuh Mantan Presiden Israel, Ariel Sharoon Membusuk",SALAH,Twitter,"“Ariel Sharon, Perdana Mentri Israel, pemimpin terkejam di dunia yg telah membunuh ribuan rakyat Palestina ,,, mengalami koma 8 tahun dan tubuhnya masih hidup, membusuk, hingga belatung memakan dagingnya ,,, walaupun nyawanya masih dikandung badan ,,, Adzab itu benar-benar nyata🙏🙏🙏. Mudah2an video ini sampai ke orang-orang yang selama ini menyengsarakan rakyat Indonesia 🤲🤲”",10/07/2025,,,0,0,0,0,https://turnbackhoax.id/2025/07/10/salah-tubuh-mantan-presiden-israel-ariel-sharoon-membusuk,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/07/photo_6302927291168180171_y-678x381.jpg
22,22/04/2025,Penemuan Kerangka Manusia di Pantai Batu Rakit,SALAH,Twitter,"“Breaking News..
Penemuan Kerangka Yg Di Duga Manusia Terkubur Di Pantai Batu Rakit Mentok Sore Tadi….”",22/04/2025,,,0,0,0,0,https://turnbackhoax.id/2025/04/22/salah-penemuan-kerangka-manusia-di-pantai-batu-rakit,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/04/HEADER-Light-Background-10-678x381.png
23,09/01/2025,Tumbuhan Patikan Kebo Hilangkan Kutil hingga Tahi Lalat Tanpa Operasi,SALAH,Twitter,"“Kutil, daging tumbuh, tahi lalat, tak perlu operasi cukup gunakan patikan kebo. Jadi ini adalah patikan kebo yang dipergunakan itu adalah getahnya jadi ingin kita potong kayak gini nah ini ada getahnya getah dari vatikan tubuh ini dioleskan langsung ke kutil atau tanda lat atau daging tumbuh cukup lakukan secara rutin 5 kali. Dalam sehari insya, Allah itu cepat rontoknya.”
“kutil, tahi lalat, daging tumbuh tak perlu operasi”",09/01/2025,,,0,0,0,0,https://turnbackhoax.id/2025/01/09/salah-tumbuhan-patikan-kebo-hilangkan-kutil-hingga-tahi-lalat-tanpa-operasi,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/01/wm-patikan-kebo-678x381.png
24,12/11/2024,Video Tumpukan Uang di Ruang Staf Khusus Eks Menkominfo Budi Arie,SALAH,Twitter,"Pertanyaan itu dituangkan Sahroni dalam takarir:
“*Benar-benar Gila..!!*
Ruangan staf khusus Budi Ari (Menkoinfo) pelindung judi online di grebek Polisi, telah ditemukan tumpukan uang yg jumlahnya sangat fantastis.
Serius nih berita beneran gak siy ???”",12/11/2024,,,0,0,0,0,https://turnbackhoax.id/2024/11/12/salah-video-tumpukan-uang-di-ruang-staf-khusus-eks-menkominfo-budi-arie,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/11/koko-jelek-678x381.jpg
25,25/11/2024,Kereta Cepat Whoosh Mogok,SALAH,Twitter,"“Whoosh. Kereta cepat Cina . . cepat mogoknya doang.
Baru beroperasi sekitar setahun sudah mogok berkali-kali.
Rakyat ditipu Cina dan Jokowi. Kereta super mahal seharga 114 triliun yang baru BEP 130 tahun kualitasnya rongsokan
#KonspirasiJahatPIK2
#KonspirasiJahatPIK2”",25/11/2024,,,0,0,0,0,https://turnbackhoax.id/2024/11/25/salah-kereta-cepat-whoosh-mogok,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/11/IMG_7862-678x381.jpeg
26,10/03/2025,Video “Brankas Penyimpanan Uang Korupsi Pertamina”,SALAH,Twitter,“Baru kali ini merasakan korban lansung Dari tindakan korupsi”,10/03/2025,,,0,0,0,0,https://turnbackhoax.id/2025/03/10/salah-video-brankas-penyimpanan-uang-korupsi-pertamina,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/03/Vania_False-Context-2-678x381.png
27,10/10/2025,"Warga Cirebon Heboh dengan Penampakan Cahaya Misterius di Langit, Diduga Meteor Jatuh Dekat Tol Ciperna",SALAH,Twitter,"“Warga Cirebon Heboh Dengan Penampakan Cahaya Misterius di Langit, Diduga Meteor Jatuh Dekat Tol Ciperna”",10/10/2025,,,0,0,0,0,https://turnbackhoax.id/2025/10/10/salah-warga-cirebon-heboh-dengan-penampakan-cahaya-misterius-di-langit-diduga-meteor-jatuh-dekat-tol-ciperna,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/10/HEADER-Dark-Background-4-678x381.png
28,24/02/2025,Tautan Pendaftaran Lowongan Pekerjaan Wilmar Group,SALAH,Twitter,"“LOWONGAN KERJA WILMAR GROUP INDONESIA
Wilmar Group Indonesia membuka peluang besar bagi kamu yang ingin berkembang bersama salah satu perusahaan agribisnis dan energi terkemuka!
https://indotools-eosin[dot]vercel[dot]app/lokerterbaruwilmar
Tersedia 15 Posisi yang membutuhkan kandidat terbaik!
Persyaratan umum:
Pria atau Wanita
Usia minimal 18-35 tahun
Terbuka untuk fresh graduate maupun yang sudah berpengalaman.
Pendidikan minimal SMA/SMK, D3, hingga S1.
Jangan lewatkan kesempatan emas ini! Raih karier impianmu sekarang juga”",24/02/2025,,,0,0,0,0,https://turnbackhoax.id/2025/02/24/penipuan-tautan-pendaftaran-lowongan-pekerjaan-wilmar-group,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/02/header-lowongan-kerja-Wilmar-678x381.png
29,15/04/2025,Erick Thohir Meminta Seluruh Rakyat Menyumbang Emas untuk Memajukan Ekonomi Indonesia,SALAH,Twitter,"“Untuk Batre kembung 58% fersi Khodori silahkan yang punya emas sumbangkan untuk negara, pemeritah butuh bantuanya .",15/04/2025,,,0,0,0,0,https://turnbackhoax.id/2025/04/15/salah-erick-thohir-meminta-seluruh-rakyat-menyumbang-emas-untuk-memajukan-ekonomi-indonesia,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/04/X-et-rakyat-sumbang-emas-HEADER-678x381.png
30,18/12/2024,Gus Iqdam Bagi-Bagi Bantuan Lewat TikTok,SALAH,Twitter,"“ASSALAMUALAIKUM SEMUA. SAYA GUS IQDAM TEMAN DARI GUS MIFTAH. MARAKNYA BERITA TENTANG GUS MIFTAH SAYA IKUT PRIHATIN KARENA GUS MIFTAH JUGA MANUSIA KITA TIDAK HARUS UNTUK MENGHAKIMINYA. UNTUK KAMU YANG SUDAH MENEMUKAN VT INI SAYA JUGA AKAN MEMBANTU MUNGKIN BANYAK ORANG YANG LAGI KESULITAN SAYA AKAN BERBAGI AMANAH DAN AKAN NYATA UNTUK KAMU. TEKAN LOVE DAN PANAH SAJA KAMU BERKESEMPATAN UNTUK SAYA BANTU. SAYA GUS IKDAM BISMILLAH KUN FAYAKUN SAYA AKAN KIRIM
“",18/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/18/penipuan-gus-iqdam-bagi-bagi-bantuan-lewat-tiktok,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/Screenshot-2024-12-09-233351-678x381.png
31,31/05/2025,Tautan “Rekrutmen Pemadam Kebakaran”,SALAH,Twitter,"“Open Rekrutmen Pemadam Kebakaran 2025.
Persyaratan:
– Pendidikan Minimal SMA/K Sederajat,
– Usia 18-30 Tahun,
– Memiliki kondisi fisik yang kuat,
– Memiliki surat keterangan seat dari Dokter/Puskesmas,
– Memiliki Surat Keterangan Catatan Kepolisian (SKCK),
– Terbuka untuk non pengalaman dan lulusan baru.
Posisi:
– Staf Kantor,
– Staf Lapangan.”",31/05/2025,,,0,0,0,0,https://turnbackhoax.id/2025/05/31/penipuan-tautan-rekrutmen-pemadam-kebakaran,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/05/header-loker-pemadam-kebakaran-678x381.png
32,24/03/2025,Prabowo Setop Pengangkatan PPPK,SALAH,Twitter,"Prabowo Resmi Setop Pengangkatan PPPK. Pengangkatan PPPK Akan Dihapus.
Tidak Ada Lagi Pengangkatan Pppk Di Tahun-Tahun Berikutnya.  Terus Nasib Yang Pppk Nanti Kemana Arah Nya ? Yok Diskusi",24/03/2025,,,0,0,0,0,https://turnbackhoax.id/2025/03/24/salah-prabowo-setop-pengangkatan-pppk,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/03/HEADER-Light-Background-3-678x381.png
33,27/11/2024,Pendukung Arab Saudi Ngamuk Usai Timnasnya Kalah dari Indonesia,SALAH,Twitter,"“King Arab ngamuk Indonesia menang
Setelah gol ke-2 Indonesia vs Arab Saudi”",27/11/2024,,,0,0,0,0,https://turnbackhoax.id/2024/11/27/salah-pendukung-arab-saudi-ngamuk-usai-timnasnya-kalah-dari-indonesia,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-22-at-17.49-678x381.jpg
34,27/10/2024,Lowongan Kerja Besar-Besaran BPJS Kesehatan,SALAH,Twitter,"“Dibuka lowongan pekerjaan di BPJS KESEHATAN
INFO lebih lanjut silahkan cek melalui link web yang ada di bio”",27/10/2024,,,0,0,0,0,https://turnbackhoax.id/2024/10/27/penipuan-lowongan-kerja-besar-besaran-bpjs-kesehatan,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/10/1000083919-678x381.jpg
35,23/06/2025,"Judul Artikel Detik “Polri Bukan Lagi Aparat Negara Tapi Bodyguard Jokowi, karena Itu Kami Akan Bawa Kasus Ini ke Tingkat Internasional”",SALAH,Twitter,#Geger #skandal ijazah palsu melibatkan aparaturnegara,23/06/2025,,,0,0,0,0,https://turnbackhoax.id/2025/06/23/salah-judul-artikel-detik-polri-bukan-lagi-aparat-negara-tapi-bodyguard-jokowi-karena-itu-kami-akan-bawa-kasus-ini-ke-tingkat-internasional,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/06/Copy-of-3.-Impostor-Content_20250620_102501_0000-678x381.png
36,13/03/2025,Masjid Tempat Agenda Teroris,SALAH,Twitter,“Masjid ini sudah lama selalu menjadi tempat agenda teroris utk menyusun rencana terorisnya ke setiap orang.Maka satu satunya jalan adalah dihancurkan… aullohuakbar.. takbirr”,13/03/2025,,,0,0,0,0,https://turnbackhoax.id/2025/03/13/salah-masjid-tempat-agenda-teroris,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/03/hibisc-HEADER-678x381.png
37,09/09/2025,Presiden Prabowo Temui Pendemo dan Meminta Maaf,SALAH,Twitter,"“pak prabowo temui pendemo meminta maaf, bapak prabowo tidak bisa membubarkan DPR, yang hanya bisa membubarkan DPR hanya rakyat”",09/09/2025,,,0,0,0,0,https://turnbackhoax.id/2025/09/09/salah-presiden-prabowo-temui-pendemo-dan-meminta-maaf,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/09/HEADER-Dark-Background-5-678x381.png
38,15/10/2025,Shin Tae Yong ke Arab Saudi untuk Dampingi Kluivert,SALAH,Twitter,"“🔴 Akhirnya Datang‼️ Shin Tae Yong Tiba di Arab Saudi, Bantu Garuda Jelang Piala Dunia 2026 – Semua Lega!”",15/10/2025,,,0,0,0,0,https://turnbackhoax.id/2025/10/15/salah-shin-tae-yong-ke-arab-saudi-untuk-dampingi-kluivert,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/10/HEADER-Dark-Background-6-678x381.png
39,27/09/2025,Prabowo Memilih Anies Baswedan Jadi Ketua KPK,SALAH,Twitter,"“Dalam rapat Akhirnya pak prabowo langsung memilih pak anis jadi ketua kpk,”",27/09/2025,,,0,0,0,0,https://turnbackhoax.id/2025/09/27/salah-prabowo-memilih-anies-baswedan-jadi-ketua-kpk,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/09/Vania_Misleading-Content.zip-HEADER-Light-Background-678x381.png
40,29/10/2024,Video dari dalam Tank Zionis Israel ketika Menjadi Sasaran Empuk Rudal Hamas,SALAH,Twitter,"“Video dari dalam tank Zionis Israel ketika menjadi sasaran empuk rudal Hamas.
Maknyusss 🔞”",29/10/2024,,,0,0,0,0,https://turnbackhoax.id/2024/10/29/salah-video-dari-dalam-tank-zionis-israel-ketika-menjadi-sasaran-empuk-rudal-hamas,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/10/humvee-X-tank-tbh-678x381.png
41,14/07/2025,Potret “Prabowo dan Perwakilan Belanda Bahas Kemerdekaan Papua-Aceh”,SALAH,Twitter,"“Belanda bicara tentang Aceh Papua
probowa bisa melepas Aceh Papua tapi bagaimana dengan suku Jawa masih banyak yang miskin tidur di kolong jembatan”",14/07/2025,,,0,0,0,0,https://turnbackhoax.id/2025/07/14/salah-potret-prabowo-dan-perwakilan-belanda-bahas-kemerdekaan-papua-aceh,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/07/HEADER-Dark-Background-8-1-678x381.png
42,21/10/2024,Sri Mulyani Mau Transfer Rp50 Juta untuk Modal Usaha,SALAH,TikTok,Assalamualaikum warahmatullahi wabarakatuh Indonesia saya Sri Mulyani selaku Menteri Keuangan Indonesia berjanji yang melihat video ini saya akan bantu untuk kamu saya akan transfer 50 juta untuk modal usaha atau jangan dipakai untuk foya-foya syaratnya mudah hanya Tekanlah dan bagikan postingan ini ke teman tiktok kalian Saya akan kirimkan sudah anda bagikan,21/10/2024,,,0,0,0,0,https://turnbackhoax.id/2024/10/21/penipuan-sri-mulyani-mau-transfer-rp50-juta-untuk-modal-usaha,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/10/9-1-678x381.png
43,08/10/2025,DPR Resmi Dibubarkan,SALAH,Twitter,"“BUBAR
DPR RESMI DIBUBARKAN
Ga ada gunanya DPR,,hanya bikin susah rakyat
Kerjanya hanya menghalangi keinginan  rakyat,, apa yang diinginkan rakyat selalu ditentang oleh DPR ketua DPR dan anggota DPR”",08/10/2025,,,0,0,0,0,https://turnbackhoax.id/2025/10/08/salah-dpr-resmi-dibubarkan,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/10/HEADER-Dark-Background-66-678x381.png
44,23/03/2025,"Antisipasi Serangan, TNI Jemput Pekerja Migran Indonesia dari Malaysia",SALAH,Twitter,“TNI Siap Jemput TKI Dari Malaysia”,23/03/2025,,,0,0,0,0,https://turnbackhoax.id/2025/03/23/salah-antisipasi-serangan-tni-jemput-pekerja-migran-indonesia-dari-malaysia,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/03/HEADER-Dark-Background-1-678x381.jpg
45,26/06/2025,PM Israel Netanyahu Melarikan Diri ke Yunani,SALAH,Twitter,“#Netanyahu kabur ke yunani”,26/06/2025,,,0,0,0,0,https://turnbackhoax.id/2025/06/26/salah-pm-israel-netanyahu-melarikan-diri-ke-yunani,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/06/WhatsApp-Image-2025-06-26-at-12.53.59-678x381.jpeg
46,07/08/2025,Tom Lembong dan Hasto Bebas karena Perintah Jokowi,SALAH,Twitter,“Jokowi Ke Hasto Dan Tom Lembong Jokowi: Banyak Berterima Kasih Dengan Saya Kalian Bebas Itu Perintah Saya”,07/08/2025,,,0,0,0,0,https://turnbackhoax.id/2025/08/07/salah-tom-lembong-dan-hasto-bebas-karena-perintah-jokowi,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/08/HEADER-Dark-Background-6-678x381.png
47,04/09/2025,Rumah Dinas Wagub Jatim Emil Dardak Dibakar dan Dijarah Massa,SALAH,Twitter,"“Rumah Dinas Wagub Jatim Emil Dardak dan Arumi Bachsin Dibak*r Massa, Barang-barang juga Dijarah”",04/09/2025,,,0,0,0,0,https://turnbackhoax.id/2025/09/04/salah-rumah-dinas-wagub-jatim-emil-dardak-dibakar-dan-dijarah-massa,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/09/image-20-678x381.png
